Accion,Actividad,Categoria,Emocion,person,MidHip_x,MidHip_y,MidHip_c,RHip_x,RHip_y,RHip_c,RKnee_x,RKnee_y,RKnee_c,LHip_x,LHip_y,LHip_c,LKnee_x,LKnee_y,LKnee_c
DesplazarObjeto,Acomodar,Trabajo,Neutral,0.0,439.431,429.166,0.7521399999999999,412.999,446.787,0.699954,449.715,511.355,0.816236,468.819,411.561,0.691387,518.724,506.964,0.766333
DesplazarObjeto,Acomodar,Trabajo,Neutral,0.0,437.99199999999996,429.148,0.7505890000000001,411.54699999999997,446.78,0.702106,452.61199999999997,511.35900000000004,0.8239989999999999,468.791,410.097,0.692099,517.235,509.88599999999997,0.773409
DesplazarObjeto,Acomodar,Trabajo,Neutral,0.0,437.985,429.19199999999995,0.752979,411.561,449.70099999999996,0.709839,452.664,512.831,0.799511,468.784,411.566,0.687681,514.299,509.909,0.748397
DesplazarObjeto,Acomodar,Trabajo,Neutral,0.0,437.965,430.649,0.748687,410.098,449.721,0.712329,452.67900000000003,512.856,0.802037,467.339,413.01800000000003,0.681597,512.8530000000001,512.835,0.712279
DesplazarObjeto,Acomodar,Trabajo,Neutral,0.0,437.95599999999996,430.64599999999996,0.7466119999999999,410.085,451.155,0.710774,452.689,512.846,0.735088,467.338,413.022,0.682269,515.765,518.715,0.654012
DesplazarObjeto,Acomodar,Trabajo,Neutral,0.0,437.944,435.022,0.745409,410.061,452.659,0.721362,455.61400000000003,520.172,0.716662,467.335,415.969,0.678978,515.79,520.2,0.6975779999999999
DesplazarObjeto,Acomodar,Trabajo,Neutral,0.0,436.48900000000003,436.505,0.7457239999999999,407.162,454.13599999999997,0.7219,454.106,520.163,0.7280260000000001,465.86699999999996,417.43800000000005,0.672842,517.2180000000001,521.635,0.663042
DesplazarObjeto,Acomodar,Trabajo,Neutral,0.0,436.504,437.99199999999996,0.753782,407.16900000000004,457.046,0.713446,451.19599999999997,520.2,0.707581,467.33,421.81199999999995,0.680429,514.32,520.196,0.690991
DesplazarObjeto,Acomodar,Trabajo,Neutral,0.0,437.95599999999996,440.93300000000005,0.730592,408.61400000000003,461.44199999999995,0.701541,446.765,520.192,0.677137,470.25800000000004,426.24,0.674575,515.778,530.446,0.683483
DesplazarObjeto,Acomodar,Trabajo,Neutral,0.0,439.41900000000004,443.855,0.726066,410.082,462.92199999999997,0.710384,443.86199999999997,523.106,0.733854,471.73900000000003,429.158,0.684366,512.8340000000001,528.988,0.682523
DesplazarObjeto,Acomodar,Trabajo,Neutral,0.0,440.92699999999996,449.73199999999997,0.713497,413.02,465.849,0.689535,446.79,529.005,0.727123,474.68,435.037,0.690379,515.76,533.4209999999999,0.71353
DesplazarObjeto,Acomodar,Trabajo,Neutral,0.0,446.777,452.666,0.722938,417.39300000000003,468.80300000000005,0.6859689999999999,451.149,533.422,0.7893640000000001,477.63,437.955,0.689631,520.172,543.67,0.713803
DesplazarObjeto,Acomodar,Trabajo,Neutral,0.0,451.17699999999996,457.04400000000004,0.726524,418.91,473.214,0.679363,452.67199999999997,539.263,0.699092,482.015,440.898,0.681088,521.648,545.117,0.704635
DesplazarObjeto,Acomodar,Trabajo,Neutral,0.0,454.097,461.44800000000004,0.740062,423.30800000000005,477.63,0.690884,459.981,548.107,0.703492,484.962,445.31199999999995,0.6812189999999999,526.056,549.524,0.751656
DesplazarObjeto,Acomodar,Trabajo,Neutral,0.0,455.61,465.851,0.731793,427.7,483.483,0.695133,476.163,575.962,0.7273029999999999,487.87699999999995,451.175,0.687262,528.98,553.945,0.775528
DesplazarObjeto,Acomodar,Trabajo,Neutral,0.0,460.00699999999995,471.731,0.716414,430.645,487.875,0.685411,484.94800000000004,584.784,0.6750189999999999,492.28,454.126,0.661887,531.952,561.3,0.708751
